id,film_id,person_id,role
1,1,2197,director
2,1,4839,actor
3,1,5047,actor
4,1,8173,actor
5,2,2998,director
6,2,3978,actor
7,2,5272,actor
8,2,7448,actor
9,3,1459,actor
10,3,3926,actor
11,3,4580,director
12,3,6575,actor
13,4,1008,actor
14,4,2649,director
15,4,2938,actor
16,4,6950,actor
17,5,2578,actor
18,5,2648,actor
19,5,2790,director
20,5,4942,actor
21,6,461,actor
22,6,752,actor
23,6,1233,actor
24,6,2994,director
25,7,3094,director
26,7,3331,actor
27,7,3516,actor
28,7,5139,actor
29,8,56,actor
30,8,2592,director
31,8,2690,actor
32,8,3037,actor
33,9,2068,actor
34,9,2746,actor
35,9,2835,actor
36,9,4905,director
37,10,2818,actor
38,10,4939,actor
39,10,4961,director
40,10,5049,actor
41,11,130,actor
42,11,1477,actor
43,11,2593,director
44,11,8168,actor
45,12,2259,actor
46,12,2387,actor
47,12,2835,actor
48,12,5214,director
49,13,1227,director
50,13,2633,actor
51,13,6197,actor
52,13,7414,actor
53,14,1895,actor
54,14,2451,actor
55,14,5511,director
56,14,7403,actor
57,15,58,actor
58,15,816,actor
59,15,4970,actor
60,15,8239,director
61,16,1895,actor
62,16,3899,director
63,16,5271,actor
64,16,6886,actor
65,17,2115,actor
66,17,3051,director
67,17,3892,actor
68,17,8028,actor
69,18,500,actor
70,18,2593,director
71,18,3509,actor
72,18,4872,actor
73,19,2775,actor
74,19,3010,actor
75,19,7756,actor
76,19,8100,director
77,20,1476,actor
78,20,2593,director
79,20,3509,actor
80,20,7756,actor
81,21,791,actor
82,21,5122,actor
83,21,7709,actor
84,21,8100,director
85,22,1477,actor
86,22,3033,actor
87,22,3213,director
88,22,7397,actor
89,23,1985,actor
90,23,3291,director
91,23,4795,actor
92,24,1495,actor
93,24,2067,actor
94,24,5431,actor
95,24,6004,director
96,25,236,director
97,25,2777,actor
98,25,3778,actor
99,25,4716,actor
100,26,2671,actor
101,26,5955,actor
102,26,7403,actor
103,26,8172,director
104,27,665,actor
105,27,3915,director
106,27,6840,actor
107,27,8176,actor
108,28,496,actor
109,28,2134,actor
110,28,3291,director
111,28,7044,actor
112,29,1476,actor
113,29,1554,actor
114,29,3122,actor
115,29,5511,director
116,30,2458,actor
117,30,3171,actor
118,30,7397,actor
119,30,8100,director
120,31,678,actor
121,31,2458,actor
122,31,2778,director
123,31,6551,actor
124,32,236,director
125,32,4778,actor
126,32,6006,actor
127,32,6590,actor
128,33,1654,actor
129,33,2609,actor
130,33,3528,actor
131,33,8172,director
132,34,820,director
133,34,2597,actor
134,34,3416,actor
135,34,6528,actor
136,35,2887,actor
137,35,3700,actor
138,35,4872,actor
139,35,7664,director
140,36,3611,actor
141,36,4127,actor
142,36,4580,director
143,36,4839,actor
144,37,2132,actor
145,37,2593,director
146,37,4872,actor
147,37,7756,actor
148,38,1654,actor
149,38,5797,actor
150,38,7703,actor
151,38,8273,director
152,39,1200,actor
153,39,1961,actor
154,39,2286,director
155,39,3921,actor
156,40,2491,actor
157,40,6074,director
158,40,6708,actor
159,40,7679,actor
160,41,4200,actor
161,41,4675,actor
162,41,6200,actor
163,41,6665,director
164,42,580,actor
165,42,3944,actor
166,42,4003,director
167,42,7294,actor
168,43,2995,actor
169,43,3092,director
170,43,5773,actor
171,43,8167,actor
172,44,2321,actor
173,44,2844,actor
174,44,6566,actor
175,44,8128,director
176,45,270,director
177,45,2563,actor
178,45,3300,actor
179,45,6634,actor
180,46,717,actor
181,46,2995,actor
182,46,3915,director
183,46,8109,actor
184,47,762,actor
185,47,2778,director
186,47,3095,actor
187,47,4409,actor
188,48,2286,director
189,48,4324,actor
190,48,4574,actor
191,48,5232,actor
192,49,1971,actor
193,49,5468,director
194,49,6347,actor
195,49,6798,actor
196,50,79,actor
197,50,624,actor
198,50,2778,director
